Mean daily Precipitation per season from Armagh Observatory, 1838-2001 (mm)
Winter(Dec,Jan,Feb),Spring(March,Apr,May),Summer(June,July,Aug),Autumn(Sept,Oct,Nov.) 
     
         Winter    Spring    Summer    Autumn    Annual
1932      1.61      1.92      2.37      2.22      2.20
1933      2.81      1.52      1.77      0.86      1.51
1934      1.36      1.97      2.61      2.73      2.39
1935      2.69      1.16      2.22      3.08      2.11
1936      2.07      1.05      3.32      3.06      2.44
1937      3.20      1.56      2.30      1.78      2.14
1938      2.06      1.37      3.04      3.28      2.51
1939      2.42      1.84      2.21      2.86      2.26
1940      2.27      2.12      2.04      2.71      2.37
1941      2.30      2.09      2.03      2.30      2.03
1942      2.09      2.29      2.42      1.92      2.35
1943      2.71      1.61      2.62      1.97      2.11
1944      1.52      1.23      2.91      3.70      2.47
1945      2.49      1.76      2.58      1.76      2.03
1946      2.54      0.78      3.02      3.23      2.48
1947      2.00      3.21      2.08      2.38      2.38
1948      3.27      2.04      2.83      2.10      2.65
1949      2.67      1.71      1.86      2.73      2.24
1950      2.57      1.66      3.56      3.27      2.63
1951      2.35      1.66      2.72      2.32      2.36
1952      2.72      1.14      2.16      2.11      1.98
1953      1.65      1.09      2.70      2.15      1.90
1954      2.54      2.16      2.53      3.90      2.80
1955      3.02      1.82      2.05      2.00      2.24
1956      2.04      1.41      3.48      2.03      2.34
1957      3.41      1.67      2.94      2.33      2.50
1958      3.28      1.44      4.07      2.37      2.85
1959      2.37      1.81      1.75      2.44      2.05
1960      3.00      2.18      2.92      3.27      2.74
1961      2.74      2.57      1.66      2.78      2.40
1962      1.96      1.94      1.84      2.83      2.21
1963      2.12      2.54      2.85      3.27      2.51
1964      1.09      1.80      2.12      2.80      2.14
1965      2.33      2.10      2.62      2.70      2.46
1966      3.14      2.52      2.24      3.27      2.83
1967      2.61      2.32      2.24      3.23      2.48
1968      2.08      1.81      1.57      3.03      2.12
1969      2.65      2.17      1.65      2.05      2.15
1970      2.83      1.76      2.76      2.80      2.42
1971      1.50      1.76      2.80      1.66      1.89
1972      1.99      2.45      1.71      1.48      2.05
1973      2.51      1.47      1.87      1.95      1.93
1974      2.65      1.59      2.22      2.36      2.27
1975      2.45      1.04      1.05      2.69      1.60
1976      1.51      1.90      1.31      2.76      2.04
1977      3.20      1.47      1.89      2.29      2.17
1978      2.16      1.54      1.62      2.15      2.13
1979      2.74      2.67      2.12      2.77      2.37
1980      2.63      1.63      2.25      2.68      2.32
1981      2.20      2.76      2.00      3.49      2.53
1982      2.39      1.54      1.73      3.31      2.36
1983      2.50      2.25      0.95      2.07      1.93
1984      3.67      1.08      2.01      2.72      2.28
1985      1.68      1.86      3.17      1.88      2.09
1986      1.88      2.93      2.23      1.96      2.36
1987      1.85      1.60      2.53      2.77      2.01
1988      2.65      2.07      2.34      2.21      2.40
1989      1.80      2.08      1.72      1.83      1.82
1990      3.29      1.42      2.09      2.44      2.42
1991      2.16      1.98      1.11      2.26      1.86
1992      2.09      2.21      2.81      2.34      2.29
1993      1.90      2.73      2.19      2.01      2.43
1994      3.78      2.10      1.73      1.73      2.24
1995      3.35      1.30      0.87      3.80      2.13
1996      2.01      2.40      1.75      1.97      2.05
1997      1.80      1.61      2.50      2.04      2.09
1998      2.36      1.80      2.45      2.66      2.33
1999      2.76      1.64      1.57      2.96      2.40
2000      2.89      1.95      1.91      3.31      2.40
2001      2.17      1.85      1.97      1.81      1.77
