/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BABADA1 (1928-1955), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926358 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.900000 * LONGITUDE: -6.962500
	DATE/TIME START: 1928-09-01T00:00:00 * DATE/TIME END: 1955-12-31T00:00:00
Event(s):	BABADA1 * LATITUDE: 38.900000 * LONGITUDE: -6.962500 * LOCATION: Badajoz, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 7am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
	Sunshine duration [min] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: calculated from hours and minutes
	Sunshine duration, daily [h/day] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
Size:	56002 data points
*/
Date/Time	N [tenths] (at 7am)	N [tenths] (at 1pm)	N [tenths] (at 6pm)	N [tenths] (mean)	SSD [min] (calculated from hours and min...)	SSD [h/day]
1928-10-26	7	9	8	8.00	190	3.17
1928-10-27	6	5	0	3.67	500	8.33
1928-10-28	1	5	3	3.00	420	7.00
1928-10-29	2	2	0	1.33	555	9.25
1928-10-30	1	3	0	1.33	550	9.17
1928-10-31	0	5	1	2.00	480	8.00
1928-11-01	6	6	9	7.00	400	6.67
1928-11-02	10	6	1	5.67	320	5.33
1928-11-03	10	6	9	8.33	205	3.42
1928-11-04	10	5	4	6.33	190	3.17
1928-11-05	10	8	10	9.33	120	2.00
1928-11-06	10	10	10	10.00	0	0.00
1928-11-07	10	10	10	10.00	0	0.00
1928-11-08	10	9	1	6.67	250	4.17
1928-11-09	3	0	0	1.00	540	9.00
1928-11-10	0	0	0	0.00	540	9.00
1928-11-11	0	0	0	0.00	560	9.33
1928-11-12	0	0	0	0.00	560	9.33
1928-11-13	0	1	2	1.00	520	8.67
1928-11-14	0	0	0	0.00	480	8.00
1928-11-15	10	8	5	7.67	155	2.58
1928-11-16	10	10	7	9.00	80	1.33
1928-11-17	10	1	0	3.67	505	8.42
1928-11-18	10	0	1	3.67	400	6.67
1928-11-19	3	4	1	2.67	170	2.83
1928-11-20	2	1	3	2.00	435	7.25
1928-11-21	2	3	0	1.67	500	8.33
1928-11-22	1	0	0	0.33	505	8.42
1928-11-23	2	7	4	4.33	55	0.92
1928-11-24	4	3	1	2.67	415	6.92
1928-11-25	3	7	6	5.33	280	4.67
1928-11-26	10	0	0	3.33	510	8.50
1928-11-27	0	6	0	2.00	415	6.92
1928-11-28	0	6	4	3.33	470	7.83
1928-11-29	1	2	1	1.33	425	7.08
1928-11-30	0	3	0	1.00	525	8.75
1928-12-01	1	0	0	0.33	520	8.67
1928-12-02	0	0	0	0.00	460	7.67
1928-12-03	0	0	0	0.00	485	8.08
1928-12-04	0	0	0	0.00	475	7.92
1928-12-05	1	0	0	0.33	495	8.25
1928-12-06	0	0	0	0.00	475	7.92
1928-12-07	10	9	7	8.67	75	1.25
1928-12-08	10	8	8	8.67	305	5.08
1928-12-09	0	7	1	2.67	320	5.33
1928-12-10	2	10	10	7.33	0	0.00
1928-12-11	9	7	8	8.00	90	1.50
1928-12-12	2	6	3	3.67	260	4.33
1928-12-13	10	10	1	7.00	85	1.42
1928-12-14	10	8	10	9.33	250	4.17
1928-12-15	2	2	0	1.33	475	7.92
1928-12-16	10	10	10	10.00	0	0.00
1928-12-17	10	10	10	10.00	0	0.00
1928-12-18	10	1	0	3.67	330	5.50
1928-12-19	10	1	0	3.67	320	5.33
1928-12-20	10	10	10	10.00	55	0.92
1928-12-21	0	2	0	0.67	325	5.42
1928-12-22	0	0	0	0.00	505	8.42
1928-12-23	0	0	0	0.00	510	8.50
1928-12-24	0	0	0	0.00	470	7.83
1928-12-25	1	2	0	1.00	385	6.42
1928-12-26	0	0	0	0.00	470	7.83
1928-12-27	7	7	2	5.33	205	3.42
1928-12-28	10	10	10	10.00	15	0.25
1928-12-29	10	10	1	7.00	30	0.50
1928-12-30	8	9	10	9.00	140	2.33
1928-12-31	10	10	10	10.00	0	0.00
1929-01-01	0	1	0	0.33	480	8.00
1929-01-02	0	0	0	0.00	510	8.50
1929-01-03	0	0	0	0.00	420	7.00
1929-01-04	0	0	1	0.33	420	7.00
1929-01-05	1	1	5	2.33	415	6.92
1929-01-06	10	10		10.00	0	0.00
1929-01-07	10	10	0	6.67	160	2.67
1929-01-08	0	4	0	1.33	410	6.83
1929-01-09	1	5	2	2.67	340	5.67
1929-01-10	3	6	1	3.33	420	7.00
1929-01-11	3	6	8	5.67	165	2.75
1929-01-12	10	9	1	6.67	0	0.00
1929-01-13	10	10	9	9.67	0	0.00
1929-01-14	10	10	10	10.00	0	0.00
1929-01-15	2	5	1	2.67	515	8.58
1929-01-16	0	0	0	0.00	490	8.17
1929-01-17	2	1	1	1.33	475	7.92
1929-01-18	6	8	10	8.00	170	2.83
1929-01-19	8	8	7	7.67	125	2.08
1929-01-20	10	9	9	9.33	0	0.00
1929-01-21	4	10	10	8.00	20	0.33
1929-01-22	10	10	10	10.00	80	1.33
1929-01-23			7	7.00	150	2.50
1929-01-24		10	0	5.00	115	1.92
1929-01-25	10	10	10	10.00	65	1.08
1929-01-26	10	10	10	10.00	0	0.00
1929-01-27	9	8	3	6.67	210	3.50
1929-01-28	7	8	7	7.33	100	1.67
1929-01-29	2	2	1	1.67	540	9.00
1929-01-30	10	10	10	10.00	20	0.33
1929-01-31		10	7	8.50	0	0.00
1929-02-01	10	10	10	10.00	0	0.00
1929-02-02	10	10	10	10.00	0	0.00
1929-02-03	10	6	7	7.67	325	5.42
1929-02-04	7	6	3	5.33	510	8.50
1929-02-05	6	9	3	6.00	340	5.67
1929-02-06	0	0	0	0.00	565	9.42
1929-02-07	0	1	5	2.00	465	7.75
1929-02-08	3	8	10	7.00	165	2.75
1929-02-09	10	10	9	9.67	0	0.00
1929-02-10	4	0	0	1.33	545	9.08
1929-02-11	0	1	5	2.00	540	9.00
1929-02-12	8	9	9	8.67	0	0.00
1929-02-13	10	10	7	9.00	0	0.00
1929-02-14	10	10	10	10.00	0	0.00
1929-02-15	10	10	1	7.00	130	2.17
1929-02-16	0	6	2	2.67	500	8.33
1929-02-17	9	6	1	5.33	585	9.75
1929-02-18	10	8	10	9.33	125	2.08
1929-02-19	9	10	9	9.33	0	0.00
1929-02-20		8	10	9.00	260	4.33
1929-02-21	10	9	7	8.67	340	5.67
1929-02-22	9	10	9	9.33	30	0.50
1929-02-23	10	10	10	10.00	0	0.00
1929-02-24	10	9	9	9.33	295	4.92
1929-02-25	6	8	6	6.67	420	7.00
1929-02-26	10	9	7	8.67	100	1.67
1929-02-27	0	7	1	2.67	600	10.00
1929-02-28	0	0	1	0.33	640	10.67
1929-03-01	2	1	0	1.00	635	10.58
1929-03-02	0	0	1	0.33	625	10.42
1929-03-03	2	6	9	5.67	375	6.25
1929-03-04	10	10	8	9.33	75	1.25
1929-03-05		8	8	8.00	220	3.67
1929-03-06		8	10	9.00	305	5.08
1929-03-07	10	10	10	10.00	45	0.75
1929-03-08	10	10	10	10.00	0	0.00
1929-03-09	10	9	10	9.67	85	1.42
1929-03-10	8	2	8	6.00	535	8.92
1929-03-11	10	4	7	7.00	350	5.83
1929-03-12		0	3	1.50	495	8.25
1929-03-13		5	10	7.50	350	5.83
1929-03-14	10	9	3	7.33	85	1.42
1929-03-15		8	8	8.00	385	6.42
1929-03-16		2	6	4.00	405	6.75
1929-03-17		1	6	3.50	495	8.25
1929-03-18	8	6	9	7.67	335	5.58
1929-03-19	2	0	0	0.67	560	9.33
1929-03-20	0	0	0	0.00	595	9.92
1929-03-21	1	8	9	6.00	365	6.08
1929-03-22	7	4	4	5.00	495	8.25
1929-03-23	0	7	8	5.00	465	7.75
1929-03-24	1	2	2	1.67	600	10.00
1929-03-25	3	7	4	4.67	595	9.92
1929-03-26	8	9	9	8.67	255	4.25
1929-03-27	1	8	3	4.00	505	8.42
1929-03-28	0	1	0	0.33	595	9.92
1929-03-29	0	1	0	0.33	590	9.83
1929-03-30	0	0	0	0.00	590	9.83
1929-03-31	0	0	0	0.00	570	9.50
1929-04-01	2	2	5	3.00	450	7.50
1929-04-02	6	3	2	3.67	615	10.25
1929-04-03	0	0	0	0.00	630	10.50
1929-04-04	0	0	0	0.00	635	10.58
1929-04-05	0	0	0	0.00	620	10.33
1929-04-06	0	0	0	0.00	630	10.50
1929-04-07	0	5	5	3.33	540	9.00
1929-04-08	1	3	2	2.00	620	10.33
1929-04-09	1	0	3	1.33	640	10.67
1929-04-10	0	0	2	0.67	560	9.33
1929-04-11	1	2	3	2.00	600	10.00
1929-04-12	0	3	0	1.00	585	9.75
1929-04-13	1	6	7	4.67	425	7.08
1929-04-14	10	8	4	7.33	290	4.83
1929-04-15	1	5	2	2.67	615	10.25
1929-04-16	0	0	0	0.00	660	11.00
1929-04-17	0	0	0	0.00	660	11.00
1929-04-18	0	5	8	4.33	510	8.50
1929-04-19	10	10	6	8.67	75	1.25
1929-04-20	7	8	2	5.67	410	6.83
1929-04-21	10	10	9	9.67	20	0.33
1929-04-22	10	7	9	8.67	270	4.50
1929-04-23	10	10	9	9.67	40	0.67
1929-04-24	10	7	9	8.67	230	3.83
1929-04-25	10	10	10	10.00	95	1.58
1929-04-26	9	10	10	9.67	5	0.08
1929-04-27	10	7	8	8.33	495	8.25
1929-04-28	10	10	6	8.67	160	2.67
1929-04-29	6	10	4	6.67	390	6.50
1929-04-30	5	8	6	6.33	460	7.67
1929-05-01	0	7	2	3.00	710	11.83
1929-05-02	3	6	2	3.67	635	10.58
1929-05-03	0	6	2	2.67	775	12.92
1929-05-04	0	0	1	0.33	795	13.25
1929-05-05	0	4	0	1.33	810	13.50
1929-05-06	10	7	3	6.67	520	8.67
1929-05-07	1	8	10	6.33	280	4.67
1929-05-08	9	6	6	7.00	600	10.00
1929-05-09	0	8	7	5.00	630	10.50
1929-05-10	0	0	1	0.33	800	13.33
1929-05-11	0	3	0	1.00	825	13.75
1929-05-12	0	7	2	3.00	730	12.17
1929-05-13		0	7	3.50	710	11.83
1929-05-14	3	1	1	1.67	770	12.83
1929-05-15	3	0	0	1.00	745	12.42
1929-05-16	1	0	1	0.67	780	13.00
1929-05-17	2	6	9	5.67	425	7.08
1929-05-18	10	10	10	10.00	5	0.08
1929-05-19	10	10	9	9.67	90	1.50
1929-05-20	4	7	10	7.00	315	5.25
1929-05-21	3	2	1	2.00	795	13.25
1929-05-22	10	0	0	3.33	670	11.17
1929-05-23	10	9	10	9.67	115	1.92
1929-05-24	1	7	9	5.67	565	9.42
1929-05-25	0	6	6	4.00	660	11.00
1929-05-26	1	0	8	3.00	785	13.08
1929-05-27	2	3	7	4.00	695	11.58
1929-05-28	0	7	7	4.67	715	11.92
1929-05-29	3	3	6	4.00	810	13.50
1929-05-30	5	4	0	3.00	720	12.00
1929-05-31	0	1	5	2.00	845	14.08
1929-06-01	0	6	5	3.67	815	13.58
1929-06-02	0	0	1	0.33	860	14.33
1929-06-03	0	1	1	0.67	870	14.50
1929-06-04	1	1	2	1.33	840	14.00
1929-06-05	1	5	1	2.33	820	13.67
1929-06-06	0	0	0	0.00	840	14.00
1929-06-07	0	0	0	0.00	850	14.17
1929-06-08	0	0	1	0.33	810	13.50
1929-06-09	5	8	2	5.00	590	9.83
1929-06-10	2	3	1	2.00	710	11.83
1929-06-11	10	3	5	6.00	390	6.50
1929-06-12	10	4	0	4.67	370	6.17
1929-06-13	10	3	0	4.33	560	9.33
1929-06-14	0	0	0	0.00	740	12.33
1929-06-15	0	0	2	0.67	780	13.00
1929-06-16	0	0	0	0.00	760	12.67
1929-06-17	0	0	0	0.00	725	12.08
1929-06-18	1	0	0	0.33	790	13.17
1929-06-19	1	0	1	0.67	800	13.33
1929-06-20	0	0	6	2.00	720	12.00
1929-06-21	1	0	0	0.33	790	13.17
1929-06-22	0	0	2	0.67	800	13.33
1929-06-23	3	2	6	3.67	545	9.08
1929-06-24	2	0	0	0.67	810	13.50
1929-06-25	10	9	9	9.33	140	2.33
1929-06-26	9	4	3	5.33	650	10.83
1929-06-27	10	8	9	9.00	405	6.75
1929-06-28	8	8	6	7.33	430	7.17
1929-06-29	10	10	6	8.67	270	4.50
1929-06-30	10	10	9	9.67	0	0.00
1929-07-01	10	8	8	8.67	285	4.75
1929-07-02	10	8	10	9.33	110	1.83
1929-07-03	8	9	5	7.33	240	4.00
1929-07-04	0	6	1	2.33	680	11.33
1929-07-05	0	0	0	0.00	830	13.83
1929-07-06	0	0	0	0.00	830	13.83
1929-07-07	0	0	0	0.00	830	13.83
1929-07-08	0	0	0	0.00	850	14.17
1929-07-09	0	0	0	0.00	810	13.50
1929-07-10	0	0	1	0.33	790	13.17
1929-07-11	0	0	1	0.33	780	13.00
1929-07-12	0	0	0	0.00	770	12.83
1929-07-13	2	1	2	1.67	620	10.33
1929-07-14	1	0	1	0.67	770	12.83
1929-07-15	1	0	1	0.67	760	12.67
1929-07-16	1	0	0	0.33	750	12.50
1929-07-17	0	0	0	0.00	790	13.17
1929-07-18	0	0	0	0.00	780	13.00
1929-07-19	4	6	2	4.00	480	8.00
1929-07-20	1	7	2	3.33	665	11.08
1929-07-21	0	0	0	0.00	790	13.17
1929-07-22	0	0	0	0.00	790	13.17
1929-07-23	0	3	0	1.00	710	11.83
1929-07-24	1	0	0	0.33	810	13.50
1929-07-25	0	0	0	0.00	810	13.50
1929-07-26	2	0	0	0.67	790	13.17
1929-07-27	0	0	0	0.00	790	13.17
1929-07-28	0	2	7	3.00	600	10.00
1929-07-29	0	0	0	0.00	770	12.83
1929-07-30	0	0	0	0.00	790	13.17
1929-07-31	0	0	2	0.67	750	12.50
1929-08-01	0	0	0	0.00	770	12.83
1929-08-02	0	0	0	0.00	790	13.17
1929-08-03	0	1	0	0.33	760	12.67
1929-08-04	0	0	0	0.00	730	12.17
1929-08-05	0	0	7	2.33	735	12.25
1929-08-06	5	1	0	2.00	720	12.00
1929-08-07	9	7	0	5.33	390	6.50
1929-08-08	0	1	3	1.33	780	13.00
1929-08-09	1	2	7	3.33	760	12.67
1929-08-10	0	0	0	0.00	790	13.17
1929-08-11	0	0	0	0.00	780	13.00
1929-08-12	0	0	0	0.00	780	13.00
1929-08-13	0	0	0	0.00	760	12.67
1929-08-14	0	0	1	0.33	720	12.00
1929-08-15	0	0	0	0.00	710	11.83
1929-08-16	0	0	8	2.67	650	10.83
1929-08-17	0	0	0	0.00	760	12.67
1929-08-18	1	1	1	1.00	750	12.50
1929-08-19	3	10	2	5.00	480	8.00
1929-08-20	0	0	1	0.33	730	12.17
1929-08-21	0	4	3	2.33	650	10.83
1929-08-22	0	1	0	0.33	710	11.83
1929-08-23	0	2	3	1.67	620	10.33
1929-08-24	6	1	7	4.67	570	9.50
1929-08-25	4	9	5	6.00	390	6.50
1929-08-26	9	10	8	9.00	170	2.83
1929-08-27	9	1	0	3.33	490	8.17
1929-08-28	1	0	0	0.33	630	10.50
1929-08-29	4	2	0	2.00	520	8.67
1929-08-30	0	1	1	0.67	620	10.33
1929-08-31	6	1	8	5.00	520	8.67
1929-09-01	0	3	2	1.67	570	9.50
1929-09-02	0	5	0	1.67	590	9.83
1929-09-03	5	8	8	7.00	330	5.50
1929-09-04	9	9	10	9.33	320	5.33
1929-09-05	10	6	8	8.00	460	7.67
1929-09-06	7	6	9	7.33	270	4.50
1929-09-07	9	6	8	7.67	440	7.33
1929-09-08	4	5	9	6.00	400	6.67
1929-09-09	10	8	9	9.00	250	4.17
1929-09-10	10	3	9	7.33	300	5.00
1929-09-11	10	9	9	9.33	170	2.83
1929-09-12	3	7	8	6.00	220	3.67
1929-09-13	2	5	1	2.67	550	9.17
1929-09-14	2	9	9	6.67	290	4.83
1929-09-15	10	8	5	7.67	100	1.67
1929-09-16	0	6	2	2.67	460	7.67
1929-09-17	2	5	8	5.00	540	9.00
1929-09-18	10	10	9	9.67	100	1.67
1929-09-19	1	7	8	5.33	430	7.17
1929-09-20	9	8	9	8.67	230	3.83
1929-09-21	0	3	4	2.33	600	10.00
1929-09-22	1	3	2	2.00	580	9.67
1929-09-23	0	1	1	0.67	560	9.33
1929-09-24	0	1	0	0.33	590	9.83
1929-09-25	0	0	1	0.33	590	9.83
1929-09-26	1	0	2	1.00	430	7.17
1929-09-27	0	0	0	0.00	560	9.33
1929-09-28	0	0	0	0.00	560	9.33
1929-09-29	0	0	0	0.00	570	9.50
1929-09-30	0	0	0	0.00	570	9.50
1929-10-01	0	0	1	0.33	540	9.00
1929-10-02	0	0	2	0.67	550	9.17
1929-10-03	0	0	0	0.00	530	8.83
1929-10-04	7	10	10	9.00	0	0.00
1929-10-05	1	5	6	4.00	510	8.50
1929-10-06	10	10	4	8.00	100	1.67
1929-10-07	0	0	0	0.00	550	9.17
1929-10-08	10	6	0	5.33	310	5.17
1929-10-09	0	6	8	4.67	310	5.17
1929-10-10	1	2	0	1.00	550	9.17
1929-10-11	0	0	0	0.00	570	9.50
1929-10-12	0	0	0	0.00	540	9.00
1929-10-13	0	0	0	0.00	570	9.50
1929-10-14	0	0	0	0.00	580	9.67
1929-10-15	0	0	0	0.00	550	9.17
1929-10-16	0	0	0	0.00	550	9.17
1929-10-17	1	6	2	3.00	470	7.83
1929-10-18	10	7	1	6.00	380	6.33
1929-10-19	3	9	8	6.67	180	3.00
1929-10-20	1	4	9	4.67	480	8.00
1929-10-21	10	10	0	6.67	90	1.50
1929-10-22	9	10	1	6.67	110	1.83
1929-10-23	2	2	0	1.33	500	8.33
1929-10-24	2	9	10	7.00	130	2.17
1929-10-25	10	0	0	3.33	440	7.33
1929-10-26	8	9	0	5.67	380	6.33
1929-10-27	0	3	2	1.67	470	7.83
1929-10-28	3	1	1	1.67	520	8.67
1929-10-29	0	0	1	0.33	530	8.83
1929-10-30	10	0	0	3.33	530	8.83
1929-10-31	0	0	0	0.00	590	9.83
1929-11-01	0	0	0	0.00	565	9.42
1929-11-02	0	0	0	0.00	560	9.33
1929-11-03	8	1	0	3.00	390	6.50
1929-11-04	1	0	0	0.33	560	9.33
1929-11-05	1	6	0	2.33	490	8.17
1929-11-06	10	8	1	6.33	310	5.17
1929-11-07	3	5	7	5.00	320	5.33
1929-11-08	10	10	10	10.00	70	1.17
1929-11-09	9	10	8	9.00	20	0.33
1929-11-10	10	5	5	6.67	280	4.67
1929-11-11	3	0	0	1.00	530	8.83
1929-11-12	1	10	10	7.00	200	3.33
1929-11-13	0	4	1	1.67	330	5.50
1929-11-14	8	10	8	8.67	40	0.67
1929-11-15	10	10	9	9.67	50	0.83
1929-11-16	10	10	10	10.00	0	0.00
1929-11-17	10	9	5	8.00	210	3.50
1929-11-18	1	1	0	0.67	550	9.17
1929-11-19	2	1	0	1.00	440	7.33
1929-11-20	6	10	10	8.67	10	0.17
1929-11-21	8	7	8	7.67	480	8.00
1929-11-22	10	10	8	9.33	70	1.17
1929-11-23	10	10	10	10.00	90	1.50
1929-11-24	10	8	10	9.33	100	1.67
1929-11-25	10	9	10	9.67	10	0.17
1929-11-26	10	2	1	4.33	230	3.83
1929-11-27	10	8	8	8.67	160	2.67
1929-11-28	8	9	10	9.00	10	0.17
1929-11-29	10	10	10	10.00	0	0.00
1929-11-30	8	5	7	6.67	340	5.67
1929-12-01	10	1	7	6.00	210	3.50
1929-12-02	10	10	10	10.00	20	0.33
1929-12-03	10	10	10	10.00	0	0.00
1929-12-04	5	3	0	2.67	360	6.00
1929-12-05	10	10	2	7.33	10	0.17
1929-12-06	2	9	10	7.00	10	0.17
1929-12-07	10	1	0	3.67	150	2.50
1929-12-08	0	4	9	4.33	290	4.83
1929-12-09	8	6	7	7.00	420	7.00
1929-12-10	10	10	9	9.67	80	1.33
1929-12-11	10	1	0	3.67	200	3.33
1929-12-12	10	10	10	10.00	0	0.00
1929-12-13	10	0	0	3.33	500	8.33
1929-12-14	0	0	0	0.00	500	8.33
1929-12-15	0	0	0	0.00	500	8.33
1929-12-16	0	0	0	0.00	470	7.83
1929-12-17	0	0	1	0.33	380	6.33
1929-12-18	1	1	0	0.67	500	8.33
1929-12-19	0	0	0	0.00	440	7.33
1929-12-20	10	0	10	6.67	420	7.00
1929-12-21	10	10	10	10.00	10	0.17
1929-12-22	10	9	10	9.67	120	2.00
1929-12-23	10	2	7	6.33	60	1.00
1929-12-24	8	10	10	9.33	20	0.33
1929-12-25	10	10	8	9.33	0	0.00
1929-12-26	3	0	0	1.00	490	8.17
1929-12-27	5	0	2	2.33	390	6.50
1929-12-28	10	9	10	9.67	20	0.33
1929-12-29	10	9	6	8.33	290	4.83
1929-12-30	10	10	9	9.67	0	0.00
1929-12-31	10	1	0	3.67	450	7.50
1930-01-01	0	0	0	0.00	520	8.67
1930-01-02	0	0	0	0.00	510	8.50
1930-01-03	0	0	0	0.00	510	8.50
1930-01-04	4	3	8	5.00	120	2.00
1930-01-05	10	6	0	5.33	330	5.50
1930-01-06	0	1	0	0.33	500	8.33
1930-01-07	0	0	0	0.00	530	8.83
1930-01-08	3	1	9	4.33	200	3.33
1930-01-09	0	0	0	0.00	530	8.83
1930-01-10	10	1	5	5.33	410	6.83
1930-01-11	10	10	10	10.00	30	0.50
1930-01-12	10	6	10	8.67	180	3.00
