Mean seasonal maximum, minimum, mean temperature and daily temp range at Armagh Obs. 

References: 

Butler, C.J., Garcia-Suarez, A.M., Coughlin, A.D.S. and Cardwell, D. (2005)
Meteorological Data recorded at Armagh Observatory: Volume 2 - Daily, Mean Monthly,
Seasonal and Annual, Maximum and Minimum Temperatures, 1844-2004. 

Butler, C.J.,Garcia-Suarez, A.M., Coughlin, A.D.S. and Morrell, C. (2005) Ait
temperature at Armagh Observatory, Northern Ireland from 1796 to 2002. Int. J.
Climatol. 25, 1055-1079.

                  Winter(DJF)                Spring (MAM)               Summer (JJA)             Autumn (SON)
        max    min    mean   DTR    max    min    mean   DTR    max    min   mean   DTR    max    min   mean    DTR    
 1900   6.46   0.89   3.68   5.57  11.58   3.77   7.68   7.81  18.90  10.64  14.77   8.26  13.06   5.61   9.34   7.45
 1901   7.53   2.40   4.96   5.13  12.49   3.42   7.95   9.07  18.85  10.43  14.64   8.42  12.68   6.35   9.51   6.33
 1902   5.96   0.82   3.39   5.14  11.69   3.94   7.81   7.75  17.14   9.55  13.35   7.59  13.14   6.62   9.88   6.52
 1903   8.04   2.86   5.45   5.18  11.63   3.94   7.78   7.70  17.52   9.35  13.43   8.17  12.66   6.26   9.46   6.40
 1904   6.30   1.55   3.92   4.76  11.61   4.07   7.84   7.54  18.19  10.10  14.14   8.09  12.73   6.02   9.37   6.71
 1905   7.65   2.56   5.10   5.09  12.25   3.90   8.08   8.35  18.90  10.54  14.72   8.36  11.55   4.42   7.99   7.13
 1906   7.69   2.58   5.14   5.11  11.45   3.29   7.37   8.17  19.15  10.54  14.84   8.61  13.60   6.26   9.93   7.35
 1907   6.69   1.71   4.20   4.98  11.93   4.14   8.03   7.78  17.16   9.16  13.16   8.00  12.82   6.11   9.47   6.70
 1908   7.50   2.36   4.93   5.14  11.67   3.72   7.70   7.95  18.41  10.08  14.24   8.33  14.06   7.47  10.77   6.59
 1909   7.70   2.68   5.19   5.03  11.70   3.50   7.60   8.21  17.70   9.40  13.55   8.30  12.16   4.48   8.32   7.68
 1910   6.76   1.32   4.04   5.44  11.99   4.07   8.03   7.92  18.36  10.28  14.32   8.08  12.48   5.40   8.94   7.09
 1911   7.82   2.54   5.18   5.28  12.46   4.21   8.33   8.25  19.97  10.46  15.22   9.51  12.71   5.45   9.08   7.26
 1912   7.47   2.24   4.86   5.23  12.94   4.86   8.90   8.08  16.72   8.85  12.79   7.87  11.97   5.21   8.59   6.75
 1913   8.08   2.66   5.37   5.42  11.57   4.02   7.80   7.55  18.07   9.29  13.68   8.78  13.84   7.11  10.48   6.73
 1914   7.95   2.77   5.36   5.18  12.68   4.34   8.51   8.33  19.19  10.48  14.83   8.71  13.36   6.24   9.80   7.12
 1915   6.17   0.66   3.41   5.51  12.31   3.90   8.10   8.41  18.20   9.70  13.95   8.50  12.17   5.01   8.59   7.16
 1916   7.92   2.32   5.12   5.60  11.12   3.58   7.35   7.54  18.64   9.94  14.29   8.70  13.06   7.30  10.18   5.76
 1917   5.45   0.45   2.95   5.00  11.14   3.18   7.16   7.95  18.79  10.30  14.55   8.50  12.79   6.47   9.63   6.32
 1918   7.36   2.53   4.94   4.83  12.72   4.15   8.43   8.57  18.67  10.16  14.42   8.51  11.74   4.94   8.34   6.80
 1919   7.12   2.14   4.63   4.99  12.41   3.67   8.04   8.74  18.70   9.31  14.00   9.39  11.84   4.19   8.01   7.66
 1920   8.62   2.64   5.63   5.98  12.07   4.46   8.26   7.61  17.69   9.43  13.56   8.26  14.01   7.19  10.60   6.81
 1921   8.64   3.01   5.83   5.62  12.77   4.07   8.42   8.70  19.57  10.56  15.06   9.00  14.05   7.42  10.74   6.63
 1922   8.45   3.16   5.81   5.29  11.60   3.00   7.30   8.59  16.52   8.97  12.74   7.55  12.20   5.85   9.02   6.35
 1923   8.48   3.55   6.01   4.93  11.08   3.80   7.44   7.28  17.86  10.40  14.13   7.46  11.41   4.84   8.12   6.57
 1924   7.63   2.50   5.07   5.13  11.22   3.18   7.20   8.04  17.14  10.22  13.68   6.93  12.72   6.29   9.51   6.43
 1925   8.41   3.03   5.72   5.38  11.23   3.64   7.43   7.58  19.03  10.49  14.76   8.54  12.06   5.38   8.72   6.68
 1926   7.93   2.50   5.22   5.43  12.23   4.58   8.41   7.66  19.04  10.50  14.77   8.54  12.54   5.36   8.95   7.18
 1927   7.88   2.17   5.03   5.70  12.39   4.35   8.37   8.05  17.63   9.73  13.68   7.91  12.79   5.81   9.30   6.98
 1928   7.80   2.22   5.01   5.58  11.85   4.38   8.11   7.48  17.46   9.62  13.54   7.84  13.07   6.25   9.66   6.82
 1929   6.27   1.59   3.93   4.68  12.99   3.21   8.10   9.77  18.01   9.81  13.91   8.21  13.26   6.36   9.81   6.89
 1930   6.66   0.91   3.79   5.75  11.87   4.13   8.00   7.74  18.23  10.34  14.28   7.89  12.76   6.19   9.48   6.57
 1931   7.21   1.75   4.48   5.46  11.42   4.10   7.76   7.33  17.68  10.43  14.06   7.25  12.77   5.86   9.32   6.92
 1932   8.78   3.48   6.13   5.30  11.55   3.33   7.44   8.21  19.09  10.67  14.88   8.43  12.40   5.57   8.98   6.82
 1933   7.34   1.83   4.59   5.51  13.20   5.29   9.25   7.91  20.02  11.51  15.76   8.51  13.46   6.42   9.94   7.04
 1934   7.79   2.45   5.12   5.34  11.31   3.52   7.41   7.78  19.63  10.87  15.25   8.76  12.60   6.47   9.53   6.13
 1935   8.79   4.01   6.40   4.78  12.67   4.36   8.51   8.31  19.08  10.47  14.78   8.61  12.37   5.86   9.11   6.51
 1936   5.75   0.72   3.23   5.04  12.18   4.20   8.19   7.98  18.89  10.75  14.82   8.14  12.83   6.06   9.45   6.77
 1937   8.05   2.59   5.32   5.46  12.03   4.41   8.22   7.63  18.92  10.68  14.80   8.24  12.64   5.89   9.27   6.75
 1938   7.43   2.02   4.73   5.41  13.45   4.96   9.20   8.49  17.97  10.01  13.99   7.96  13.75   7.72  10.74   6.02
 1939   7.37   1.87   4.62   5.50  12.86   4.58   8.72   8.28  19.12  10.02  14.57   9.10  13.38   6.33   9.86   7.05
 1940   5.96   0.81   3.39   5.15  13.13   5.13   9.13   7.99  19.68  10.18  14.93   9.50  12.87   6.01   9.44   6.86
 1941   5.85  -0.01   2.92   5.86  11.10   4.39   7.74   6.72  18.75  10.36  14.56   8.39  14.34   7.15  10.74   7.19
 1942   7.14   1.75   4.44   5.39  12.75   4.53   8.64   8.22  18.69  10.37  14.53   8.32  12.48   5.72   9.10   6.76
 1943   9.20   3.93   6.56   5.27  13.32   5.28   9.30   8.05  18.92  10.34  14.63   8.58  13.07   6.51   9.79   6.56
 1944   8.17   2.78   5.48   5.39  13.65   4.89   9.27   8.76  18.78  10.72  14.75   8.06  12.34   5.53   8.93   6.82
 1945   7.35   1.67   4.51   5.68  14.11   5.93  10.02   8.18  19.14  10.80  14.97   8.34  14.39   7.61  11.00   6.78
 1946   8.32   2.95   5.64   5.37  13.16   3.85   8.50   9.31  17.75   9.68  13.72   8.07  12.77   7.24  10.01   5.53
 1947   4.98  -0.06   2.46   5.04  11.50   3.99   7.74   7.51  19.93  10.96  15.44   8.96  13.98   7.07  10.52   6.92
 1948   7.18   2.29   4.74   4.89  14.22   4.65   9.44   9.56  17.94  10.04  13.99   7.90  13.81   7.09  10.45   6.72
 1949   9.05   3.23   6.14   5.82  13.25   4.66   8.95   8.60  19.94  10.93  15.43   9.01  14.32   7.36  10.84   6.96
 1950   8.32   2.57   5.45   5.75  13.11   4.67   8.89   8.44  18.93  10.77  14.85   8.15  12.12   5.45   8.78   6.67
 1951   5.81   0.19   3.00   5.62  10.67   3.09   6.88   7.58  18.24  10.19  14.21   8.05  13.65   7.30  10.47   6.35
 1952   7.17   0.91   4.04   6.26  13.49   5.33   9.41   8.16  18.52  10.40  14.46   8.12  11.64   4.29   7.97   7.35
 1953   7.63   1.88   4.75   5.75  13.12   3.64   8.38   9.48  18.55  10.27  14.41   8.28  13.86   7.61  10.73   6.26
 1954   7.91   2.71   5.31   5.20  12.46   4.22   8.34   8.24  17.01   9.64  13.32   7.38  13.10   6.29   9.70   6.81
 1955   6.71   1.41   4.06   5.29  12.46   3.59   8.02   8.87  20.15  11.25  15.70   8.90  13.76   7.20  10.48   6.55
 1956   7.08   1.38   4.23   5.70  13.12   4.99   9.05   8.13  17.72   9.86  13.79   7.86  13.10   7.33  10.22   5.77
 1957   8.69   2.92   5.80   5.77  13.63   5.68   9.65   7.95  18.79  10.53  14.66   8.27  12.65   6.54   9.60   6.11
 1958   7.86   2.30   5.08   5.56  11.32   3.62   7.47   7.70  18.18  10.79  14.48   7.39  14.12   8.10  11.11   6.02
 1959   7.31   1.10   4.20   6.21  14.05   5.25   9.65   8.80  20.08  11.14  15.61   8.93  14.98   7.09  11.03   7.90
 1960   7.79   1.28   4.53   6.51  13.73   5.73   9.73   8.00  18.86  10.40  14.63   8.46  13.12   6.34   9.73   6.78
 1961   7.84   1.65   4.74   6.19  13.65   5.80   9.73   7.84  18.03   9.85  13.94   8.19  13.34   6.58   9.96   6.77
 1962   7.25   1.05   4.15   6.20  11.88   2.71   7.30   9.17  17.84   9.29  13.57   8.55  12.63   6.40   9.51   6.23
 1963   4.63  -1.05   1.79   5.68  12.58   4.16   8.37   8.42  18.18  10.00  14.09   8.18  13.57   6.87  10.22   6.70
 1964   7.34   2.17   4.76   5.17  12.63   5.22   8.92   7.41  18.23  10.53  14.38   7.70  13.45   6.20   9.83   7.25
 1965   6.53   0.62   3.57   5.91  12.70   4.45   8.58   8.25  17.91   9.75  13.83   8.16  12.37   5.76   9.06   6.61
 1966   7.21   2.26   4.73   4.95  12.53   4.75   8.64   7.78  18.62  10.44  14.53   8.18  12.83   5.84   9.34   6.99
 1967   8.20   2.47   5.34   5.72  12.47   4.34   8.41   8.12  18.92  10.25  14.59   8.67  13.10   5.88   9.49   7.23
 1968   7.00   1.14   4.07   5.85  12.30   3.55   7.92   8.75  19.66   9.79  14.73   9.87  13.80   7.59  10.69   6.22
 1969   6.14   0.59   3.37   5.55  11.65   3.12   7.38   8.53  19.26  10.51  14.89   8.75  13.50   6.60  10.05   6.90
 1970   6.40   0.81   3.61   5.59  12.26   4.12   8.19   8.14  19.60  10.63  15.12   8.97  13.25   7.03  10.14   6.21
 1971   7.68   2.36   5.02   5.32  12.46   4.13   8.30   8.33  18.38   9.95  14.16   8.43  14.43   6.93  10.68   7.50
 1972   7.69   2.04   4.87   5.65  12.39   3.82   8.10   8.57  17.79   8.72  13.26   9.07  12.80   5.26   9.03   7.54
 1973   7.82   2.36   5.09   5.46  12.25   3.93   8.09   8.33  19.32  10.70  15.01   8.62  12.70   6.03   9.36   6.66
 1974   8.05   2.74   5.39   5.31  12.26   3.99   8.12   8.28  17.66   9.66  13.66   7.99  11.05   4.75   7.90   6.30
 1975   8.58   3.48   6.03   5.10  12.26   3.62   7.94   8.64  20.56  10.84  15.70   9.72  12.72   6.54   9.63   6.19
 1976   7.57   2.92   5.25   4.65  12.05   4.57   8.31   7.47  20.93  11.37  16.15   9.56  11.89   5.80   8.85   6.09
 1977   5.05   0.39   2.72   4.66  11.96   4.06   8.01   7.90  18.89   9.66  14.28   9.23  12.22   6.31   9.26   5.91
 1978   6.47   1.76   4.11   4.71  12.20   4.21   8.20   7.99  17.69  10.20  13.94   7.49  13.98   8.35  11.16   5.63
 1979   5.04  -0.13   2.46   5.17  10.61   2.95   6.78   7.67  18.38  10.16  14.27   8.21  13.14   6.57   9.86   6.57
 1980   6.73   1.32   4.02   5.41  12.78   4.01   8.40   8.77  17.85  10.11  13.98   7.75  12.75   6.81   9.78   5.94
 1981   7.70   2.16   4.93   5.53  12.96   4.93   8.94   8.03  18.49  10.41  14.45   8.08  12.58   5.88   9.23   6.71
 1982   6.24   0.62   3.43   5.62  13.40   4.30   8.85   9.10  19.51  10.67  15.09   8.84  12.75   6.29   9.52   6.46
 1983   7.01   1.42   4.21   5.59  11.64   3.98   7.81   7.66  20.78  11.66  16.22   9.12  13.18   6.86  10.02   6.32
 1984   7.20   1.81   4.50   5.39  12.58   3.31   7.95   9.27  20.41  11.07  15.74   9.35  12.72   6.04   9.38   6.67
 1985   5.97   0.51   3.24   5.47  11.99   4.16   8.08   7.84  17.70   9.74  13.72   7.96  13.17   5.89   9.53   7.28
 1986   6.27   0.80   3.54   5.47  11.18   3.47   7.33   7.71  17.60  10.09  13.84   7.51  13.35   6.09   9.72   7.26
 1987   7.24   1.35   4.30   5.89  12.45   4.44   8.45   8.01  18.07  10.55  14.31   7.52  12.49   5.93   9.21   6.56
 1988   7.70   2.29   4.99   5.41  12.72   5.06   8.89   7.66  18.32  10.61  14.47   7.71  12.77   6.25   9.51   6.52
 1989   9.51   4.37   6.94   5.14  12.82   4.19   8.51   8.63  20.44  11.30  15.87   9.14  12.99   7.57  10.28   5.42
 1990   8.00   2.56   5.28   5.44  13.56   5.63   9.60   7.93  18.82  11.18  15.00   7.64  13.06   6.46   9.76   6.60
 1991   6.57   0.51   3.54   6.06  12.47   5.17   8.82   7.30  18.64  10.89  14.77   7.74  13.36   6.40   9.88   6.95
 1992   8.37   2.98   5.68   5.39  12.78   5.85   9.32   6.93  18.54  10.77  14.66   7.77  12.08   5.49   8.79   6.59
 1993   8.18   3.02   5.60   5.16  12.35   5.19   8.77   7.16  17.48  10.73  14.11   6.75  11.66   5.11   8.38   6.55
 1994   7.02   1.46   4.24   5.57  11.81   4.38   8.10   7.43  17.94  10.48  14.21   7.46  13.92   7.21  10.57   6.71
 1995   8.42   2.77   5.60   5.65  12.25   4.62   8.44   7.63  21.32  11.67  16.50   9.65  14.47   8.01  11.24   6.47
 1996   6.93   1.85   4.39   5.08  11.19   4.22   7.70   6.96  18.60  10.52  14.56   8.07  13.49   6.68  10.09   6.80
 1997   7.51   2.23   4.87   5.28  13.45   5.67   9.56   7.79  18.95  11.43  15.19   7.52  13.89   7.79  10.84   6.10
 1998   9.14   3.93   6.54   5.21  12.56   5.76   9.16   6.80  17.83  10.81  14.32   7.02  13.42   7.29  10.35   6.13
 1999   8.39   3.01   5.70   5.39  13.29   5.99   9.64   7.30  18.78  11.07  14.92   7.71  13.96   8.06  11.01   5.90
 2000   8.29   2.45   5.37   5.84  12.87   4.90   8.88   7.97  19.55  10.85  15.20   8.70  13.20   7.03  10.11   6.17
 2001   7.41   1.11   4.26   6.31  12.48   4.37   8.43   8.12  18.51  10.79  14.65   7.71  14.32   8.27  11.30   6.05
 2002   9.07   2.47   5.77   6.60  13.38   5.29   9.33   8.09  18.16  11.09  14.63   7.07  13.96   7.32  10.64   6.64
 2003   7.75   2.02   4.88   5.73  13.79   4.83   9.31   8.97  19.72  11.71  15.72   8.01  13.85   6.56  10.20   7.29
 2004   8.48   1.95   5.22   6.53  13.40   5.15   9.28   8.25  19.25  11.56  15.40   7.69  13.60   7.52  10.56   6.09
