Verified monthly total sunshine hours from Armagh Observatory (raw data), 1880-2001 (hours)
Note incomplete coverage in some months before 1886 (see Table 2 of paper for details)

References:  

Meteorological Data recorded at Armagh Observatory: Volume 10 - Daily, Monthly, Seasonal and Annual Hours of Bright Sunshine,
1880-2004. Butler, C.J., Emerson, M., Garcia-Suarez, A.M., Palle, E. and Kelly, S.T. (2005), Armagh Observatory Climate Series.
http://climate.arm.ac.uk/calibrated/sun/sun-text-plus-tabs.pdf

Sunshine records from Ireland, Cloud Factors and their links to Solar Activity and Cosmic Rays. Palle, E. and Butler, C.J. 2001, International
Journal of Climatology, 21, 709-729.


Year     Jan       Feb      March     April      May      June      July     August     Sept.     Oct.      Nov.      Dec.	 Annual
1907	41.3	  74.4     141.5     123.0     152.8	 111.8     166.5     140.4     101.9	  58.9      77.4      43.0	 1232.9
1908	55.3	  54.5     107.6     147.8     178.4	 185.0     154.7     144.4	70.4	  93.8      72.4      36.3	 1300.6
1909	37.3	  62.2      85.4     175.3     209.4	 137.7     117.9     142.9     113.2	  91.6      94.5      40.1	 1307.5
1910	48.2	  79.8      87.3     137.7     181.4	 148.4     204.3     126.6     103.4	  85.0      87.5      33.9	 1323.5
1911	50.5	  63.0     108.4     127.3     216.8	 205.4     201.5     189.6     157.3	  77.3      70.8      41.5	 1509.4
1912	33.0	  61.4      97.1     160.7     146.2	 118.6     139.3      72.1     103.0	 103.1      30.9      20.2	 1085.6
1913	35.3	  47.9     111.2     135.0     150.3	 143.5     145.6     156.2	91.6	  79.3      66.4      33.6	 1195.9
1914	18.0	  51.7     108.8     195.0     141.6	 158.0     134.5     182.4     139.6	  75.9      59.6      36.9	 1302.0
1915	47.0	  74.7     101.7     148.1     198.9	 203.8     109.0     100.0     139.4	  76.1      75.7      38.5	 1312.9
1916	49.8	  86.5      86.2     142.7     150.0	 159.2     107.0     146.2	83.2	  52.5      43.8      60.0	 1167.1
1917	39.6	  62.1     106.6     109.8     136.3	 187.5     178.2     141.5	96.8	  97.8      35.6      37.3	 1229.1
1918	31.8	  40.5     127.0     202.8     151.2	 186.6     162.9     124.2     121.1	  65.3      93.5      50.3	 1357.2
1919	61.2	  79.3     111.8     157.9     194.9	 158.6     167.6     176.4     134.9	 103.5      74.7      41.9	 1462.7
1920	54.5	  70.0     107.7     104.5     159.2	 172.2     104.9     115.0     111.8	  94.8      31.0      43.9	 1169.5
1921	33.9	  55.8      88.0     209.0     158.1	 217.0     156.7     102.9     136.8	  70.1      51.4      33.4	 1313.1
1922	69.3	  73.5     135.4     162.7     165.9	 161.2     131.5      94.9	96.8	 103.8      48.1      39.3	 1282.4
1923	41.5	  71.0     137.8     136.3     162.0	  94.0     143.3     145.6     122.9	 119.6      76.7      47.0	 1297.7
1924	37.3	  56.9     119.5     155.5     167.9	 121.7     101.7      99.0     126.4	  93.7      49.9      42.5	 1172.0
1925	48.6	  63.2      91.6     166.7     112.4	 236.7     117.8     149.6     105.6	  76.2      89.9      40.9	 1299.2
1926	41.4	  34.3      64.0     163.6     155.8	 158.7     162.6     164.5     116.1	 116.1      54.9      32.0	 1264.0
1927	51.7	  73.6      98.8     138.0     190.6	 158.9     141.2     150.6     116.2	  90.8      85.6      40.0	 1334.0
1928	78.7	  66.1      99.1     152.3     198.0	 164.1     134.5     148.7     136.9	  65.0      64.7      30.1	 1346.2
1929	33.4	  36.5     170.4     144.4     192.9	 183.8     130.0      84.8     134.7	 115.9      49.8      56.0	 1332.6
1930	44.0	  71.9      84.0     153.1     154.8	 236.6      95.2     106.6     118.7	  71.7      65.3      30.2	 1232.1
1931	58.5	  53.3     116.8     116.0     156.4	 120.3      81.1     158.9     103.2	 108.3      62.3      19.1	 1154.2
1932	37.5	  73.7     115.8     155.5     152.8	 198.1     113.1     104.7     105.6	 107.2      72.8      46.6	 1283.4
1933	73.0	  57.0     124.3     121.3     122.4	 167.3     158.4     148.8     152.2	  65.5      67.3      31.9	 1289.4
1934	49.6	  64.8     114.2     113.3     164.0	 192.5     207.8     114.0     129.6	  70.2      41.2      28.7	 1289.9
1935	32.3	  76.6      92.7     162.1     251.6	 151.2     193.2     135.2     110.1	  81.0      81.3      49.2	 1416.5
1936	33.7	  74.4      72.9     169.6     174.4	 189.0      99.0     152.7     106.9	  92.1      49.1      39.2	 1253.0
1937	45.1	  69.1     107.1      49.1     197.7	 111.8      93.2     139.0     106.6	  71.7      49.5      35.2	 1075.1
1938	25.9	  58.8      87.6     196.9     140.6	 129.3      96.4     144.2	91.1	  88.3      54.9      43.1	 1157.1
1939	58.3	  41.0      99.2     148.5     170.1	 233.0      95.8     146.5	86.1	 116.1      51.5      30.0	 1277.7
1940	55.8	  38.8      94.3     108.1     168.3	 256.0     121.7     115.6     108.0	  59.1      71.5      26.3	 1223.5
1941	42.8	  89.9     112.6     113.5     166.9	 139.3     105.6     141.1     107.4	  97.3      61.5      29.1	 1207.0
1942	59.8	  65.6      79.2     203.5     212.0	 174.0     141.0      83.8     114.6	  80.5      68.5      28.4	 1310.9
1943	62.8	  78.8     114.7     119.7     217.3	 188.0     196.4     109.8	97.2	  92.9      54.4      22.9	 1354.9
1944	30.9	  83.8     114.3     123.6     148.4	  98.5      95.5     151.0     111.7	  84.8      46.3      28.6	 1117.4
1945	42.2	  58.8      88.2     166.8     145.0	 134.4     118.4     143.6	96.4	  78.9      42.0      29.9	 1146.9
1946	58.1	  78.7     113.5     127.9     244.2	 153.4     115.0     108.9	74.5	  41.9      54.4      35.3	 1216.8
1947	40.9	  46.2      78.1     121.6     181.9	 143.9     109.3     245.5     101.5	  92.4      79.7      21.2	 1262.2
1948	45.1	  54.0     122.1     171.9     222.3	 126.4     149.5     107.7	97.6	  87.5      75.8      47.9	 1306.8
1949	43.8	  83.6     122.1     139.7     208.5	 252.9     121.9     113.4     151.8	  73.9      70.1      30.4	 1412.1
1950	41.4	  64.0     125.6     130.4     209.0	 180.1     146.2     136.9     106.5	  86.2      74.8      34.8	 1335.9
1951	55.3	  78.8      90.3     161.8     196.7	 207.3     112.0     132.8	93.7	  92.0      45.4      35.3	 1301.4
1952	50.8	  57.3     113.5     145.3     171.5	 145.1     105.8     108.4     105.6	 121.3      52.7      23.2	 1208.0
1953	41.8	  51.1     111.5     154.7     204.9	 158.5     141.9     130.1	92.3	  83.7      53.1      31.8	 1255.4
1954	39.1	  41.4     100.6     170.7     161.7	 114.2      85.6     116.6     135.2	  60.5      51.9      23.9	 1101.4
1955	53.3	  70.6     140.4     173.8     203.7	 103.3     217.8     132.9     144.6	 101.7      40.4      30.1	 1412.6
1956	46.2	  73.1     114.6     152.1     170.1	 179.7     133.8     129.3	74.1	  96.6      40.6      23.7	 1233.9
1957	54.9	  85.0      62.7     173.5     187.9	 247.2      65.0     111.4	88.9	  62.8      55.7      48.9	 1243.9
1958	57.2	  59.8     100.9     133.3     193.6	 121.5     144.4     108.4     102.3	  86.6      48.1      35.8	 1191.9
1959	82.7	  56.9     119.3     157.2     229.1	 223.4     143.1     141.7     140.5	 104.1      73.3      41.0	 1512.3
1960	42.8	 105.4      66.0     159.7     196.2	 225.3     143.9     144.8     119.7	  62.2      60.4      65.0	 1391.4
1961	54.4	  67.3      83.0     108.2     178.4	 139.6      89.8     137.1     115.1	 104.3      58.3      34.2	 1178.8
1962	52.2	  63.9     126.5     194.9     211.6	 174.5     103.5     154.9	70.9	  91.4      39.7      36.1	 1320.2
1963	59.7	  71.8     119.5     136.0     182.0	 164.0     168.0     112.0     129.5	  75.2      48.9      51.3	 1318.3
1964	27.3	  64.2      69.7     121.2     169.8	 126.3     110.6     146.5     128.3	  67.5      67.3      41.8	 1140.5
1965	62.2	  44.9     117.1     153.6     137.3	 135.4     125.3     124.6	70.8	  75.5      70.8      52.3	 1169.8
1966	29.5	  41.2     124.8      88.9     219.5	 140.3     164.1     128.2     105.7	 103.6      63.0      40.5	 1249.3
1967	50.3	  83.9     115.1     140.3     140.5	 165.9      97.6     127.2     120.9	  88.0      75.0      41.1	 1245.8
1968	33.6	  92.6     100.7     151.7     156.8	 215.5     127.7     177.9     108.3	  59.0      46.9      32.7	 1303.4
1969	29.4	  65.9      82.8     184.8     128.8	 189.9     165.9     135.3	77.2	  64.8      61.5      31.7	 1218.0
1970	24.7	  81.3     105.8     126.7     109.2	 184.0      90.0     132.9	79.6	  59.1      62.7      50.3	 1106.3
1971	54.2	  55.2      76.2     119.8     162.6	 131.1     166.4     100.1     141.1	  86.3      49.5      26.4	 1168.9
1972	38.2	  69.2     112.0     129.7     130.0	 139.8     147.1      96.0     121.9	  84.8      58.0      45.1	 1171.8
1973	24.5	  64.6      94.3     123.8     133.4	 157.9     108.6     124.1     106.4	  79.1      44.5      41.5	 1102.7
1974	27.4	  59.6      92.7     198.1     130.4	 156.9     112.8     155.7     105.0	  81.6      78.2      30.5	 1228.9
1975	50.5	  74.0     118.8     139.1     239.3	 213.1     126.8     148.1     111.4	  79.3      56.3      25.9	 1382.6
1976	32.7	  44.0      67.9     149.1     110.4	 174.4     122.3     227.8	86.7	  74.7      71.5      24.3	 1185.8
1977	50.3	  40.0      77.0     137.8     226.2	 170.3     174.8     173.1	93.2	  79.0      55.4      20.0	 1297.1
1978	64.7	  61.7     100.6     108.1     163.8	 123.5     121.9      73.0	87.4	  88.4      54.4      42.8	 1090.3
1979	55.7	  58.5     103.5     121.7     150.4	 134.4     107.2     123.0     101.2	  88.8      62.4      45.0	 1151.8
1980	41.7	  53.8      94.4     128.1     220.1	  88.7      96.9      96.2	92.5	  81.0      52.2      23.9	 1069.5
1981	37.1	  59.6      76.3     152.5     126.8	 109.9      95.9     110.0     110.3	  92.5      48.2      17.8	 1036.9
1982	42.3	  61.2     134.5     141.5     170.1	 132.6     155.9     122.9     108.8	  77.0      41.3      41.5	 1229.6
1983	40.5	  67.5      54.5     147.6     117.1	 114.0     177.1     117.1	67.1	  79.7      27.5      29.8	 1039.5
1984	38.7	  42.1      71.3     158.4     214.1	 132.3     173.0     141.5	96.5	  87.7      48.4      28.4	 1232.4
1985	52.5	  69.6      85.1     126.5     145.4	 152.7      89.6      98.3	79.7	  71.2      62.7      46.9	 1080.2
1986	41.6	  68.1     113.8     138.0     159.6	 137.4      76.2     110.3     142.8	 105.4      74.9      40.6	 1208.7
1987	41.1	  62.6      71.7      91.1     170.6	  76.9     109.5     105.2     145.8	 109.1      52.9      23.7	 1060.2
1988	55.5	  71.1      80.6     134.0     172.6	 166.4     114.6     116.6     108.3	  95.4      66.8      38.1	 1220.0
1989	55.5	  87.7     112.4     109.1     227.5	 183.1     243.8     118.1	98.5	  60.7      45.2      24.3	 1365.9
1990	58.1	  61.0      88.9     149.4     165.0	 135.5     214.9     104.3     120.0	  77.2      73.0      46.1	 1293.4
1991	69.4	  48.4      87.2     147.0     143.6	 114.0     132.5     153.0     163.2	  70.8      63.8      31.2	 1224.1
1992	26.8	  55.5      71.9      79.5     179.2	 158.6     112.1     143.3	85.9	  85.5      57.8      40.2	 1096.3
1993	40.4	  24.8      71.9     112.1     121.2	  88.3      92.6     140.4	96.4	  85.4      56.8      34.0	  964.3
1994	53.1	  48.6     105.4     174.4     142.2	 102.9     127.5     113.4     110.5	 112.9      56.0      49.9	 1196.8
1995	31.8	  58.9     101.6     149.1     164.3	 227.0     150.9     242.7     124.4	 106.7      60.5      31.5	 1449.4
1996	24.1	 109.4     102.6     116.4     170.8	 184.9     138.4     100.7     142.8	  72.1      72.0      41.9	 1276.1
1997	20.5	  75.9      88.6      81.9     201.9	 136.6     122.5     185.0     138.8	  87.0      47.3      36.3	 1222.6
1998	55.0	  61.0      60.1     133.5     137.7	 137.1     127.2     156.3     106.9	 105.7      66.6      34.5	 1181.6
1999	45.3	  62.3     128.3     160.8     120.6	 126.9	   187.3     117.9     106.9	  92.6      52.4      39.1	 1240.4
2000	41.9	  78.9      82.9     138.5     233.1	 140.7     119.1     167.7     114.6	  96.8      42.1      32.2	 1288.5
2001    63.6	  87.2	   117.2     124.8     196.7	 125.8	   121.2     152.2     117.8	  86.7	    36.5      77.0	 1306.7
2002    52.1	  86.9     122.7     176.9     152.4	 128.4     102.0     121.2     119.9	  79.4      62.0      36.9	 1240.8
2003    61.1	  88.1     146.1     169.4     144.4	 170.5     108.9     183.6     124.3	  96.8      89.0      51.7	 1433.9
2004    51.1     100.0     131.0     150.8     181.3     148.3     140.6     166.2     118.0      99.1      43.4      50.7       1380.5
2005    44.4      71.1      82.8     139.6     170.5     114.0     118.5     140.2     106.4      72.1      78.8      32.2       1170.6
2006    39.5      86.6      87.0     164.2     179.2     186.0     228.3     103.3     116.5      98.5      85.1      57.4       1431.6
2007    56.3      76.0     112.8     203.6     237.9     126.1     150.0     121.2     118.3     100.1      36.8      45.1       1384.2
2008    41.3      92.0     121.3     187.1     239.2     163.6     114.6      69.0      88.0     117.5      51.1      52.5       1337.2
2009    64.2      59.2     108.5     158.9     202.5     223.3     151.9     123.0     122.2      69.4      71.6      53.3       1408.0
2010    47.3      51.9     124.1     167.6     195.5     184.1     113.5     158.2     117.4     109.6      81.3      48.7       1399.2
